Time,ID,Type,Source,Message
2025-10-30 15:38:18,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:38:11,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:38:10,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:38:02,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:38:00,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:37:58,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:37:58,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:37:56,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:37:56,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:37:54,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:37:54,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:37:54,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:37:54,4624,8,Microsoft-Windows-Security-Auditing,
2025-10-30 15:37:54,4624,8,Microsoft-Windows-Security-Auditing,
