Path,Name,Ext,SizeMB,Modified,Hash,Suspicious
C:\Users\Admin\Desktop\~WRL1613.tmp,~WRL1613.tmp,.tmp,0.02,2025-09-17 15:27,,NO
C:\Users\Admin\Desktop\~WRL1742.tmp,~WRL1742.tmp,.tmp,0.02,2025-03-26 11:59,,NO
C:\Users\Admin\Desktop\~WRL1812.tmp,~WRL1812.tmp,.tmp,0.01,2025-07-09 06:55,,NO
C:\Users\Admin\Desktop\~WRL1949.tmp,~WRL1949.tmp,.tmp,0.01,2025-01-29 11:15,,NO
C:\Users\Admin\Desktop\~WRL2062.tmp,~WRL2062.tmp,.tmp,0.02,2025-09-15 11:19,,NO
C:\Users\Admin\Desktop\~WRL2417.tmp,~WRL2417.tmp,.tmp,0.02,2025-08-09 19:24,,NO
C:\Users\Admin\Desktop\~WRL2468.tmp,~WRL2468.tmp,.tmp,0.02,2025-03-25 11:00,,NO
C:\Users\Admin\Desktop\~WRL2567.tmp,~WRL2567.tmp,.tmp,0.02,2025-01-17 10:53,,NO
C:\Users\Admin\Desktop\~WRL2570.tmp,~WRL2570.tmp,.tmp,0.01,2025-03-13 09:30,,NO
C:\Users\Admin\Desktop\~WRL2589.tmp,~WRL2589.tmp,.tmp,0.01,2025-05-21 05:11,,NO
C:\Users\Admin\Desktop\~WRL2973.tmp,~WRL2973.tmp,.tmp,0.02,2025-03-14 09:29,,NO
C:\Users\Admin\Desktop\~WRL3060.tmp,~WRL3060.tmp,.tmp,0.02,2025-10-27 12:14,,NO
C:\Users\Admin\Desktop\~WRL3080.tmp,~WRL3080.tmp,.tmp,0.02,2025-04-26 18:54,,NO
C:\Users\Admin\Desktop\~WRL3542.tmp,~WRL3542.tmp,.tmp,0.01,2025-05-21 06:49,,NO
C:\Users\Admin\Desktop\~WRL3606.tmp,~WRL3606.tmp,.tmp,0.02,2025-10-25 07:35,,NO
C:\Users\Admin\Desktop\~WRL3844.tmp,~WRL3844.tmp,.tmp,0.02,2025-09-17 12:30,,NO
C:\Users\Admin\Desktop\~WRL4098.tmp,~WRL4098.tmp,.tmp,0.01,2025-01-22 12:23,,NO
