Path,Name,Ext,SizeMB,Modified,Hash,Suspicious
C:\Windows\System32\aeevts.dll,aeevts.dll,.dll,0.04,2024-04-01 10:22,,NO
C:\Windows\System32\aeinv.dll,aeinv.dll,.dll,0.92,2025-10-29 07:53,,NO
C:\Windows\System32\aemarebackup.dll,aemarebackup.dll,.dll,0.53,2025-10-29 07:53,,NO
C:\Windows\System32\aepic.dll,aepic.dll,.dll,0.56,2025-10-29 07:53,,NO
C:\Windows\System32\agentactivationruntime.dll,agentactivationruntime.dll,.dll,0.96,2025-10-29 07:53,,NO
C:\Windows\System32\agentactivationruntimestarter.exe,agentactivationruntimestarter.exe,.exe,0.04,2025-06-22 13:07,,NO
C:\Windows\System32\agentactivationruntimewindows.dll,agentactivationruntimewindows.dll,.dll,1.12,2025-10-29 07:53,,NO
C:\Windows\System32\AgentService.exe,AgentService.exe,.exe,0.85,2025-10-29 07:54,,NO
C:\Windows\System32\AggregatorHost.exe,AggregatorHost.exe,.exe,0.3,2025-08-29 22:07,,NO
C:\Windows\System32\aitstatic.exe,aitstatic.exe,.exe,3.11,2025-10-29 07:53,,NO
C:\Windows\System32\alg.exe,alg.exe,.exe,0.2,2025-10-29 07:53,,NO
C:\Windows\System32\amsi.dll,amsi.dll,.dll,0.11,2025-08-29 21:52,,NO
C:\Windows\System32\amsiproxy.dll,amsiproxy.dll,.dll,0.04,2024-04-01 10:22,,NO
C:\Windows\System32\amstream.dll,amstream.dll,.dll,0.12,2025-08-29 21:56,,NO
C:\Windows\System32\apds.dll,apds.dll,.dll,0.25,2025-08-29 21:58,,NO
C:\Windows\System32\APHostClient.dll,APHostClient.dll,.dll,0.1,2025-06-22 13:27,,NO
C:\Windows\System32\APHostRes.dll,APHostRes.dll,.dll,0.02,2024-03-31 19:54,,NO
C:\Windows\System32\APHostService.dll,APHostService.dll,.dll,0.34,2025-08-29 21:59,,NO
C:\Windows\System32\apisampling.dll,apisampling.dll,.dll,0.38,2025-10-29 07:53,,NO
C:\Windows\System32\ApiSetHost.AppExecutionAlias.dll,ApiSetHost.AppExecutionAlias.dll,.dll,0.19,2025-10-29 07:53,,NO
C:\Windows\System32\apisetschema.dll,apisetschema.dll,.dll,0.15,2025-10-29 07:53,,NO
C:\Windows\System32\APMon.dll,APMon.dll,.dll,1.57,2025-10-29 08:02,,NO
C:\Windows\System32\APMonUI.dll,APMonUI.dll,.dll,0.07,2025-10-29 08:02,,NO
C:\Windows\System32\AppContracts.dll,AppContracts.dll,.dll,0.89,2025-10-29 08:10,,NO
C:\Windows\System32\AppExtension.dll,AppExtension.dll,.dll,0.29,2025-10-29 08:10,,NO
C:\Windows\System32\appfootprint.dll,appfootprint.dll,.dll,0.93,2025-10-29 07:55,,NO
C:\Windows\System32\apphelp.dll,apphelp.dll,.dll,0.63,2025-10-29 07:53,,NO
C:\Windows\System32\Apphlpdm.dll,Apphlpdm.dll,.dll,0.05,2025-08-29 21:53,,NO
C:\Windows\System32\AppHostRegistrationVerifier.exe,AppHostRegistrationVerifier.exe,.exe,0.13,2025-10-29 08:10,,NO
C:\Windows\System32\appidapi.dll,appidapi.dll,.dll,0.1,2025-06-22 13:13,,NO
C:\Windows\System32\appidcertstorecheck.exe,appidcertstorecheck.exe,.exe,0.05,2025-06-22 13:13,,NO
C:\Windows\System32\appidpolicyconverter.exe,appidpolicyconverter.exe,.exe,0.15,2025-06-22 13:13,,NO
C:\Windows\System32\AppIdPolicyEngineApi.dll,AppIdPolicyEngineApi.dll,.dll,0.34,2025-08-29 22:09,,NO
C:\Windows\System32\appidsvc.dll,appidsvc.dll,.dll,0.11,2025-06-22 13:13,,NO
C:\Windows\System32\appidtel.exe,appidtel.exe,.exe,0.05,2025-10-29 07:53,,NO
C:\Windows\System32\appinfo.dll,appinfo.dll,.dll,0.39,2025-10-29 08:00,,NO
C:\Windows\System32\appinfoext.dll,appinfoext.dll,.dll,0.04,2025-10-29 08:00,,NO
C:\Windows\System32\AppInstallerBackgroundUpdate.exe,AppInstallerBackgroundUpdate.exe,.exe,0.08,2025-10-29 07:54,,NO
C:\Windows\System32\AppInstallerPrompt.Desktop.dll,AppInstallerPrompt.Desktop.dll,.dll,0.07,2025-06-22 13:12,,NO
C:\Windows\System32\ApplicationControlCSP.dll,ApplicationControlCSP.dll,.dll,0.12,2025-10-29 07:53,,NO
C:\Windows\System32\ApplicationFrame.dll,ApplicationFrame.dll,.dll,0.71,2025-10-29 08:05,,NO
C:\Windows\System32\ApplicationFrameHost.exe,ApplicationFrameHost.exe,.exe,0.09,2025-10-29 08:05,,NO
C:\Windows\System32\ApplicationTargetedFeatureDatabase.dll,ApplicationTargetedFeatureDatabase.dll,.dll,0.36,2025-10-29 07:54,,NO
C:\Windows\System32\AppListBackupLauncher.dll,AppListBackupLauncher.dll,.dll,0.11,2025-10-29 07:54,,NO
C:\Windows\System32\AppLockerCSP.dll,AppLockerCSP.dll,.dll,0.35,2025-10-29 07:53,,NO
C:\Windows\System32\ApplySettingsTemplateCatalog.exe,ApplySettingsTemplateCatalog.exe,.exe,0.78,2025-10-29 07:54,,YES
C:\Windows\System32\ApplyTrustOffline.exe,ApplyTrustOffline.exe,.exe,1.3,2025-10-29 07:54,,NO
C:\Windows\System32\AppManagementConfiguration.dll,AppManagementConfiguration.dll,.dll,0.16,2025-06-22 13:25,,NO
C:\Windows\System32\appmgmts.dll,appmgmts.dll,.dll,0.25,2025-10-29 07:58,,NO
C:\Windows\System32\appmgr.dll,appmgr.dll,.dll,0.43,2025-08-29 21:58,,NO
C:\Windows\System32\AppMon.dll,AppMon.dll,.dll,0.11,2025-08-29 22:02,,NO
C:\Windows\System32\AppointmentActivation.dll,AppointmentActivation.dll,.dll,0.17,2025-06-22 13:11,,NO
C:\Windows\System32\AppointmentApis.dll,AppointmentApis.dll,.dll,0.77,2025-06-22 13:11,,NO
C:\Windows\System32\appraiser.dll,appraiser.dll,.dll,2.49,2025-10-29 07:55,,NO
C:\Windows\System32\AppReadiness.dll,AppReadiness.dll,.dll,0.74,2025-10-29 07:54,,NO
C:\Windows\System32\apprepapi.dll,apprepapi.dll,.dll,0.04,2025-06-27 11:20,,NO
C:\Windows\System32\AppResolver.dll,AppResolver.dll,.dll,0.69,2025-10-29 07:54,,NO
C:\Windows\System32\ApproveChildRequest.exe,ApproveChildRequest.exe,.exe,0.25,2025-06-22 13:08,,NO
C:\Windows\System32\appsruprov.dll,appsruprov.dll,.dll,0.21,2025-08-29 22:05,,NO
C:\Windows\System32\AppVCatalog.dll,AppVCatalog.dll,.dll,0.6,2025-06-25 12:27,,NO
C:\Windows\System32\AppVClient.exe,AppVClient.exe,.exe,0.76,2025-06-22 13:25,,NO
C:\Windows\System32\AppvClientEventLog.dll,AppvClientEventLog.dll,.dll,0.22,2024-04-01 11:03,,NO
C:\Windows\System32\AppVClientPS.dll,AppVClientPS.dll,.dll,0.06,2025-10-15 07:50,,NO
C:\Windows\System32\AppVDllSurrogate.exe,AppVDllSurrogate.exe,.exe,0.18,2025-10-15 07:50,,NO
C:\Windows\System32\AppVEntStreamingManager.dll,AppVEntStreamingManager.dll,.dll,0.72,2025-06-22 13:25,,NO
C:\Windows\System32\AppVEntSubsystemController.dll,AppVEntSubsystemController.dll,.dll,1.22,2025-10-29 07:54,,NO
C:\Windows\System32\AppVEntSubsystems64.dll,AppVEntSubsystems64.dll,.dll,1.63,2025-10-29 07:54,,NO
